"","Variable","Placebo","No Treatment","Low","Medium","High"
"1","Number","23","23","21","20","16"
"2","Sex",NA,NA,NA,NA,NA
"3","Male","43.48","30.43","42.86","35","18.75"
"4","Female","56.52","69.57","57.14","65","81.25"
"5","Race",NA,NA,NA,NA,NA
"6","Native American",NA,"4.35","4.76",NA,"6.25"
"7","African American","4.35","4.35","14.29",NA,"6.25"
"8","Asian","4.35","4.35",NA,"5",NA
"9","White","91.3","86.96","80.95","95","87.5"
"10","Smoker","56.52","69.57","71.43","55","68.75"
"11","Sites","159.65 ± 10.66","153.91 ± 11.24","161.71 ± 8.16","153.5 ± 17.12","158.25 ± 8.73"
"12","Attach (base)","1.83 ± 0.66","2.55 ± 0.65","2.1 ± 1.09","2.24 ± 0.67","2.31 ± 1.01"
"13","Attach (1 year)","1.74 ± 0.54","2.33 ± 0.55","2.08 ± 1.06","2.24 ± 0.65","2.15 ± 0.92"
"14","PD (base)","3.1 ± 0.39","3.29 ± 0.49","3.22 ± 0.64","3.05 ± 0.42","3.18 ± 0.28"
"15","PD (1 year)","2.75 ± 0.48","2.95 ± 0.46","3.02 ± 0.58","2.84 ± 0.47","2.8 ± 0.42"
