"","Variable","All Patients","Drug Users","Not Drug Users"
"1","SF-26 Mental QOL Score (Baseline)","44.89 ± 13.5","42.31 ± 11.22","45.12 ± 13.68"
"2","SF 26 Physical QOL Score(Baseline)","51.04 ± 9.05","47.7 ± 8.5","51.34 ± 9.05"
"3","Viral Load (Baseline)","10.4 ± 2.12","10.42 ± 1.97","10.4 ± 2.14"
"4","CD4+ T cell count (Baseline)","373.53 ± 200.46","352.18 ± 194.67","375.44 ± 201.07"
"5","SF-26 Mental QOL Score (2 year)","47.23 ± 11.98","45.89 ± 13.5","47.35 ± 11.85"
"6","SF 26 Physical QOL Score(2 year)","49.49 ± 10.14","43.84 ± 11.62","50 ± 9.86"
"7","Viral Load (2 year)","4.14 ± 2.81","4.21 ± 3.22","4.13 ± 2.78"
"8","CD4+ T cell count (2 year)","542.74 ± 267.36","365.62 ± 239.7","558.54 ± 264.22"
"9","Mental Diff","2.34 ± 12.1","3.58 ± 15.07","2.23 ± 11.82"
"10","Phys Diff","-1.55 ± 8.37","-3.85 ± 8.71","-1.34 ± 8.32"
"11","Viral Load Diff","0.41 ± 0.37","0.39 ± 0.25","0.41 ± 0.38"
"12","CD4+ Diff","169.21 ± 183.2","13.43 ± 195.73","183.11 ± 175.67"
