"","Group.1","x","quantProp"
"1",100,3.21881620827698,"(2.98,3.47)"
"2",200,3.42930535499587,"(3.17,3.7)"
"3",300,3.34049282829202,"(3.1,3.6)"
"4",400,3.16941652320871,"(2.94,3.41)"
"5",500,3.35133278703637,"(3.11,3.61)"
"6",600,3.07062960590904,"(2.85,3.3)"
"7",700,3.11522080636225,"(2.89,3.35)"
"8",800,3.3351936900215,"(3.09,3.59)"
"9",900,3.17451764089998,"(2.94,3.41)"
"10",1000,3.1505728451403,"(2.92,3.39)"
"11",1100,3.04259630903251,"(2.81,3.28)"
"12",1200,3.28214981097241,"(3.04,3.53)"
"13",1300,3.28300197193682,"(3.04,3.54)"
"14",1400,2.99539228967299,"(2.77,3.23)"
"15",1500,3.1681615474979,"(2.94,3.41)"
"16",1600,3.13426142224875,"(2.9,3.38)"
"17",1700,3.47745996555803,"(3.22,3.75)"
"18",1800,3.17591271660575,"(2.94,3.42)"
"19",1900,3.12547195987465,"(2.89,3.37)"
"20",2000,2.8377799779865,"(2.62,3.06)"
"21",2100,3.19944484004478,"(2.96,3.44)"
"22",2200,3.2074969055374,"(2.98,3.45)"
"23",2300,3.05353010264253,"(2.83,3.29)"
"24",2400,3.33450772258644,"(3.09,3.59)"
"25",2500,3.15949909754663,"(2.93,3.4)"
"26",2600,3.17788800753002,"(2.95,3.42)"
"27",2700,3.26076896703803,"(3.02,3.51)"
"28",2800,3.29601797146369,"(3.05,3.55)"
"29",2900,3.15502262130791,"(2.92,3.4)"
"30",3100,3.14864691609143,"(2.91,3.39)"
"31",3200,3.19081879540804,"(2.96,3.43)"
"32",3300,3.29060432230434,"(3.05,3.54)"
"33",3400,3.16502764008073,"(2.93,3.41)"
"34",3500,3.14054909350639,"(2.91,3.38)"
"35",3600,2.97869776510216,"(2.74,3.22)"
"36",3700,3.05290428632545,"(2.83,3.29)"
"37",3800,3.01635140886929,"(2.79,3.25)"
"38",3900,3.12890770718513,"(2.9,3.37)"
"39",4000,3.12130807610244,"(2.89,3.36)"
"40",4100,3.18398315158408,"(2.95,3.43)"
"41",4200,2.96964487806779,"(2.74,3.2)"
"42",4300,3.21577593502389,"(2.98,3.46)"
"43",4400,3.19910078226822,"(2.97,3.44)"
