"","Variable","All Months","Current Month","Past Months"
"1","N","26518","4424","22094"
"2","Procedure",NA,NA,NA
"3","Valve Surgery","18.42 ( 4884 )","17.9 ( 792 )","18.52 ( 4092 )"
"4","CABG Surgery","75.9 ( 20126 )","76.4 ( 3380 )","75.79 ( 16746 )"
"5","Missing","5.69 ( 1508 )","5.7 ( 252 )","5.68 ( 1256 )"
"6","ASA",NA,NA,NA
"7","0 (1,2,3)","22.44 ( 5950 )","22.81 ( 1009 )","22.36 ( 4941 )"
"8","1 (4 or 5)","69.42 ( 18408 )","69.6 ( 3079 )","69.38 ( 15329 )"
"9","Missing","8.15 ( 2160 )","7.59 ( 336 )","8.26 ( 1824 )"
"10","Weight","174.84 ± 26.91 (Missing = 1855 )","174.86 ± 27.37 (Missing = 418 )","174.84 ± 26.83 (Missing = 1437 )"
"11","Height","65.49 ± 2.56 (Missing = 1855 )","65.52 ± 2.61 (Missing = 418 )","65.48 ± 2.54 (Missing = 1437 )"
"12","BMI","28.61 ± 3.8 (Missing = 1855 )","28.58 ± 3.83 (Missing = 418 )","28.62 ± 3.79 (Missing = 1437 )"
"13","Albumin","3.89 ± 0.5 (Missing = 16496 )","3.89 ± 0.5 (Missing = 2695 )","3.9 ± 0.49 (Missing = 13801 )"
"14","30 day mortality","3.27 ( 868 )","3.28 ( 145 )","3.27 ( 723 )"
